"yr","inst","acronimo","d1","m1","pa1","s2","tipo"
2007,"Benemerita Universidad Autonoma de Puebla","BUAP",3264,44545,170,2041.53,"Estatal"
2008,"Benemerita Universidad Autonoma de Puebla","BUAP",3141,45524,162,2069.22,"Estatal"
2009,"Benemerita Universidad Autonoma de Puebla","BUAP",3169,50088,139,2209.79,"Estatal"
2007,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",634,1844,56,1657.25,"Federal"
2008,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",544,2004,54,1754.02,"Federal"
2009,"Centro de Investigacion y de Estudios Avanzados del IPN","CINVESTAV",566,2109,54,1818.78,"Federal"
2007,"Colegio de Posgraduados","COLPOS",635,852,38,837.388,"Federal"
2008,"Colegio de Posgraduados","COLPOS",610,843,37,881.013,"Federal"
2009,"Colegio de Posgraduados","COLPOS",379,855,33,799.195,"Federal"
2007,"El Colegio de Mexico","COLMEX",177,331,18,504.647,"Federal"
2008,"El Colegio de Mexico","COLMEX",179,357,18,443.303,"Federal"
2009,"El Colegio de Mexico","COLMEX",184,369,18,455.061,"Federal"
2007,"Instituto Politecnico Nacional","IPN",8771,84816,176,9018.84,"Federal"
2008,"Instituto Politecnico Nacional","IPN",9027,87225,189,9593.43,"Federal"
2009,"Instituto Politecnico Nacional","IPN",9537,91426,198,9959.15,"Federal"
2007,"Instituto Tecnologico de Sonora","IT Sonora",1632,14735,73,220.329,"Estatal"
2008,"Instituto Tecnologico de Sonora","IT Sonora",1632,14735,73,227.793,"Estatal"
2009,"Instituto Tecnologico de Sonora","IT Sonora",1632,14807,76,242.269,"Estatal"
2007,"Universidad Autonoma Agraria Antonio Narro","UAAAN",507,4071,36,702.954,"Federal"
2008,"Universidad Autonoma Agraria Antonio Narro","UAAAN",512,4537,34,673.29,"Federal"
2009,"Universidad Autonoma Agraria Antonio Narro","UAAAN",484,4746,33,739.929,"Federal"
2007,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1138,18885,41,432.702,"Estatal"
2008,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1221,18698,52,451.419,"Estatal"
2009,"Universidad Autonoma Benito Juarez de Oaxaca","UABJ Oaxaca",1395,18560,49,505.264,"Estatal"
2007,"Universidad Autonoma Chapingo","UA Chapingo",686,4019,45,1730,"Federal"
2008,"Universidad Autonoma Chapingo","UA Chapingo",713,4125,44,1789.99,"Federal"
2009,"Universidad Autonoma Chapingo","UA Chapingo",732,4093,45,1899.09,"Federal"
2007,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1422,11660,100,449.535,"Estatal"
2008,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1418,11548,115,455.806,"Estatal"
2009,"Universidad Autonoma de Aguascalientes","UA Aguascalientes",1384,11674,111,473.601,"Estatal"
2007,"Universidad Autonoma de Baja California","UABC",3351,35067,159,913.368,"Estatal"
2008,"Universidad Autonoma de Baja California","UABC",3860,38004,145,910.845,"Estatal"
2009,"Universidad Autonoma de Baja California","UABC",3141,41768,151,956.367,"Estatal"
2007,"Universidad Autonoma de Baja California Sur","UABCS",382,5330,41,213.757,"Estatal"
2008,"Universidad Autonoma de Baja California Sur","UABCS",426,4890,39,215.51,"Estatal"
2009,"Universidad Autonoma de Baja California Sur","UABCS",568,4805,40,225.499,"Estatal"
2007,"Universidad Autonoma de Campeche","UA Campeche",437,5177,34,321.097,"Estatal"
2008,"Universidad Autonoma de Campeche","UA Campeche",426,5424,63,340.539,"Estatal"
2009,"Universidad Autonoma de Campeche","UA Campeche",452,5898,66,355.487,"Estatal"
2007,"Universidad Autonoma de Chiapas","UA Chiapas",1467,18486,110,518.367,"Estatal"
2008,"Universidad Autonoma de Chiapas","UA Chiapas",1576,18754,99,521.721,"Estatal"
2009,"Universidad Autonoma de Chiapas","UA Chiapas",1600,20144,111,560.051,"Estatal"
2007,"Universidad Autonoma de Chihuahua","UA Chihuahua",2264,21124,145,474.324,"Estatal"
2008,"Universidad Autonoma de Chihuahua","UA Chihuahua",2573,22378,147,487.283,"Estatal"
2009,"Universidad Autonoma de Chihuahua","UA Chihuahua",2348,23942,128,516.201,"Estatal"
2007,"Universidad Autonoma de Ciudad Juarez","UA Cd. Juárez",1729,18653,72,523.44,"Estatal"
2008,"Universidad Autonoma de Ciudad Juarez","UA Cd. Juárez",1915,19518,74,545.081,"Estatal"
2009,"Universidad Autonoma de Ciudad Juarez","UA Cd. Juárez",2059,19982,85,591.923,"Estatal"
2007,"Universidad Autonoma de Coahuila","UA Coahuila",1855,21458,144,717.712,"Estatal"
2008,"Universidad Autonoma de Coahuila","UA Coahuila",1960,21728,122,741.508,"Estatal"
2009,"Universidad Autonoma de Coahuila","UA Coahuila",2032,22848,123,768.885,"Estatal"
2007,"Universidad Autonoma de Guerrero","UA Guerrero",1096,21717,60,936.427,"Estatal"
2008,"Universidad Autonoma de Guerrero","UA Guerrero",1141,22156,76,933.767,"Estatal"
2009,"Universidad Autonoma de Guerrero","UA Guerrero",1099,22427,73,997.821,"Estatal"
2007,"Universidad Autonoma de Nayarit","UA Nayarit",1016,10684,49,675.053,"Estatal"
2008,"Universidad Autonoma de Nayarit","UA Nayarit",732,11895,48,714.418,"Estatal"
2009,"Universidad Autonoma de Nayarit","UA Nayarit",1059,12226,53,802.215,"Estatal"
2007,"Universidad Autonoma de Nuevo Leon","UANL",4931,66400,281,2723.38,"Estatal"
2008,"Universidad Autonoma de Nuevo Leon","UANL",5315,68940,262,2821.15,"Estatal"
2009,"Universidad Autonoma de Nuevo Leon","UANL",5742,71650,230,2958.47,"Estatal"
2007,"Universidad Autonoma de Queretaro","UA Querétaro",1589,14372,132,648.65,"Estatal"
2008,"Universidad Autonoma de Queretaro","UA Querétaro",1691,15279,137,649.82,"Estatal"
2009,"Universidad Autonoma de Queretaro","UA Querétaro",1770,15863,149,711.703,"Estatal"
2007,"Universidad Autonoma de San Luis Potosi","UASLP",1878,20640,114,1038.12,"Estatal"
2008,"Universidad Autonoma de San Luis Potosi","UASLP",1670,21775,136,1043.55,"Estatal"
2009,"Universidad Autonoma de San Luis Potosi","UASLP",1684,22265,136,1113.64,"Estatal"
2007,"Universidad Autonoma de Sinaloa","UA Sinaloa",2868,46430,147,1909.63,"Estatal"
2008,"Universidad Autonoma de Sinaloa","UA Sinaloa",3093,47757,154,1913.16,"Estatal"
2009,"Universidad Autonoma de Sinaloa","UA Sinaloa",3161,48189,157,2024.91,"Estatal"
2007,"Universidad Autonoma de Tamaulipas","UA Tamaulipas",2657,39353,185,1178.08,"Estatal"
2008,"Universidad Autonoma de Tamaulipas","UA Tamaulipas",2769,40574,207,1211.13,"Estatal"
2009,"Universidad Autonoma de Tamaulipas","UA Tamaulipas",2439,40413,223,1255.71,"Estatal"
2007,"Universidad Autonoma de Tlaxcala","UA Tlaxcala",1140,10421,53,330.205,"Estatal"
2008,"Universidad Autonoma de Tlaxcala","UA Tlaxcala",1171,9870,60,335.932,"Estatal"
2009,"Universidad Autonoma de Tlaxcala","UA Tlaxcala",1161,9713,60,371.735,"Estatal"
2007,"Universidad Autonoma de Yucatan","UA Yucatán",1024,11237,94,1058.18,"Estatal"
2008,"Universidad Autonoma de Yucatan","UA Yucatán",939,11638,95,1069.32,"Estatal"
2009,"Universidad Autonoma de Yucatan","UA Yucatán",910,12439,96,1122.5,"Estatal"
2007,"Universidad Autonoma de Zacatecas","UA Zacatecas",1497,15000,87,739.387,"Estatal"
2008,"Universidad Autonoma de Zacatecas","UA Zacatecas",1541,17463,96,769.804,"Estatal"
2009,"Universidad Autonoma de Zacatecas","UA Zacatecas",1735,18117,92,802.007,"Estatal"
2007,"Universidad Autonoma del Carmen","UA del Carmen",449,3983,57,159.914,"Estatal"
2008,"Universidad Autonoma del Carmen","UA del Carmen",385,4066,56,178.769,"Estatal"
2009,"Universidad Autonoma del Carmen","UA del Carmen",383,4248,40,187.378,"Estatal"
2007,"Universidad Autonoma del Estado de Hidalgo","UAE Hidalgo",2407,19760,95,613.6,"Estatal"
2008,"Universidad Autonoma del Estado de Hidalgo","UAE Hidalgo",2322,19714,88,650.807,"Estatal"
2009,"Universidad Autonoma del Estado de Hidalgo","UAE Hidalgo",2111,20445,90,672.123,"Estatal"
2007,"Universidad Autonoma del Estado de Mexico","UAE México",4399,35274,219,835.082,"Estatal"
2008,"Universidad Autonoma del Estado de Mexico","UAE México",4593,36299,242,849.976,"Estatal"
2009,"Universidad Autonoma del Estado de Mexico","UAE México",4668,36466,249,901.268,"Estatal"
2007,"Universidad Autonoma del Estado de Morelos","UAE Morelos",1298,11470,82,525.284,"Estatal"
2008,"Universidad Autonoma del Estado de Morelos","UAE Morelos",1260,11414,87,541.133,"Estatal"
2009,"Universidad Autonoma del Estado de Morelos","UAE Morelos",1296,11967,86,565.363,"Estatal"
2007,"Universidad Autonoma Metropolitana","UAM",5329,46418,114,4449.93,"Federal"
2008,"Universidad Autonoma Metropolitana","UAM",5329,46418,114,4734.53,"Federal"
2009,"Universidad Autonoma Metropolitana","UAM",5809,50131,142,5035.77,"Federal"
2007,"Universidad de Colima","U de Colima",1151,10883,124,788.964,"Estatal"
2008,"Universidad de Colima","U de Colima",1183,11495,121,783.403,"Estatal"
2009,"Universidad de Colima","U de Colima",1341,11670,115,862.73,"Estatal"
2007,"Universidad de Guadalajara","U de G",7059,74265,363,2290.11,"Estatal"
2008,"Universidad de Guadalajara","U de G",10614,77316,385,2351.31,"Estatal"
2009,"Universidad de Guadalajara","U de G",7439,82543,336,2522.47,"Estatal"
2007,"Universidad de Guanajuato","U de Guanajuato",1689,13188,119,722.554,"Estatal"
2008,"Universidad de Guanajuato","U de Guanajuato",1838,14567,127,764.21,"Estatal"
2009,"Universidad de Guanajuato","U de Guanajuato",1869,15876,128,810.652,"Estatal"
2007,"Universidad de Quintana Roo","UQRoo",336,3179,35,104.457,"Estatal"
2008,"Universidad de Quintana Roo","UQRoo",321,3260,35,107.7,"Estatal"
2009,"Universidad de Quintana Roo","UQRoo",312,3265,33,118.01,"Estatal"
2007,"Universidad de Sonora","UNISON",1959,22830,114,577.052,"Estatal"
2008,"Universidad de Sonora","UNISON",2021,23540,125,591.254,"Estatal"
2009,"Universidad de Sonora","UNISON",1648,23249,138,659.729,"Estatal"
2007,"Universidad Juarez Autonoma de Tabasco","UJA Tabasco",2151,26129,66,470.75,"Estatal"
2008,"Universidad Juarez Autonoma de Tabasco","UJA Tabasco",2029,25978,77,490.902,"Estatal"
2009,"Universidad Juarez Autonoma de Tabasco","UJA Tabasco",2098,26068,81,553.176,"Estatal"
2007,"Universidad Juarez del Estado de Durango","UJE Durango",1222,10643,67,515.484,"Estatal"
2008,"Universidad Juarez del Estado de Durango","UJE Durango",1329,10987,79,526.327,"Estatal"
2009,"Universidad Juarez del Estado de Durango","UJE Durango",1369,11788,93,553.281,"Estatal"
2007,"Universidad Michoacana de San Nicolas de Hidalgo","UMSNH",2216,36135,77,962.714,"Estatal"
2008,"Universidad Michoacana de San Nicolas de Hidalgo","UMSNH",3163,38079,103,970.837,"Estatal"
2009,"Universidad Michoacana de San Nicolas de Hidalgo","UMSNH",3163,38079,103,1035.53,"Estatal"
2007,"Universidad Nacional Autonoma de Mexico","UNAM",26887,185029,364,22138.8,"Federal"
2008,"Universidad Nacional Autonoma de Mexico","UNAM",33577,186641,338,23128.6,"Federal"
2009,"Universidad Nacional Autonoma de Mexico","UNAM",29172,193992,318,24302.2,"Federal"
2007,"Universidad Pedagogica Nacional","UPN",5200,65736,362,609.334,"Federal"
2008,"Universidad Pedagogica Nacional","UPN",4961,63587,353,644.665,"Federal"
2009,"Universidad Pedagogica Nacional","UPN",4870,62784,359,654.521,"Federal"
2007,"Universidad Veracruzana","U Veracruzana",4677,49142,220,1395.42,"Estatal"
2008,"Universidad Veracruzana","U Veracruzana",4530,51383,232,1415.24,"Estatal"
2009,"Universidad Veracruzana","U Veracruzana",4347,53542,242,1541.1,"Estatal"
